customer_id,customer_name,category,target_sales
450056063,B.W.E CUSTOM CONSTRUCTION LLC,Insurance Company,
450056064,SERGEY NIZHEGORODTSEV PUBLISHING LLC,Regional Company,
450059757,121 W SUSQUEHANNA LLC,Independent,
450056235,1 WOODBROOK DR. LLC,Bank,
450056068,ELITE FINISHES LLC,Trading Platform Provider,
450056069,FLAWLESS SILHOUETTE BOUTIQUE LLC,Insurance Company,
450056539,132 FAIRVIEW DR LLC,Independent,
450056072,LEADS FLOW LLC,Regional Company,
450056074,VICTOR TRUCKING LLC,Investment Company,
450056075,"CRYOHEALTH AND BEAUTY OF NJ, LLC",Trading Platform Provider,
450057581,1414 RESTAURANT OPERATIONS GROUP LLC,Independent,
450056077,CAC 725 PARK AVENUE REALTY LIMITED LIABILITY COMPANY,Trading Platform Provider,
450056079,TERESITA'S  TREASURES LLC,Trading Platform Provider,
450056080,AMERICAN FINANCIAL RESTORATION LLC,RIA,
450056081,RIGHT HAND MEDICAL ASSIST L.L.C.,RIA,
450059105,1017 FLORA LLC,Bank,
450056083,JR HOME INPROVEMENT LLC,Investment Company,
450056084,OS TRANSPORTATION LLC,Investment Company,
450056085,GOMES GROUP LLC,Insurance Company,
450056087,IGWT INTERNATIONAL LLC,Insurance Company,
450056088,FERREIRA & MOURA HOME IMPROVEMENT LLC,Regional Company,
450056452,OMNITRESSES SALON LLC,Regional Company,
450056453,CROSSWIND PRODUCTIONS LLC,Regional Company,
450056455,"JOHN HASLON, LLC",Trading Platform Provider,
450056456,WOLOWITZ  HOLDINGS LLC,RIA,
450056457,A M FRAMING LLC,RIA,
450056458,"GOW GEEK, LLC",Regional Company,
450057056,109-111 GRAHAM AVE LLC,Bank,
450056460,ELEVATION MEDIA LLC,RIA,
450057044,152 COUNTY ROAD DEMAREST LLC,Independent,
600429495,116 PARK AVENUE LLC,Bank,
450056465,"VIVID REFLECTIONS, LLC",RIA,
450056467,USWASHROOM LLC,Regional Company,
450056468,"JONES BROTHER'S MOVING, LLC",Trading Platform Provider,
450056469,"AWESOME GROUP INTERNATIONAL, LLC",Trading Platform Provider,
450056470,STRATTON MEDICAL LLC,Regional Company,
450056443,1200 LAKEWOOD ROAD LLC,Bank,
450056475,"BESTT IN CREST, LLC",Regional Company,
450059354,1302 PARK UNIT 1S ASSOCIATES LLC,Bank,
600429528,"1600 OAK TREE ROAD, LLC",Independent,
450056841,CARDINALE & JACKSON CROSSING ASSOCIATES 2 LLC,Trading Platform Provider,
450056842,"DVM PROPERTIES, LLC",RIA,
450056843,664 BERGEN LLC,Regional Company,
450056845,411MEADE LLC,Trading Platform Provider,
450056848,COUSINS PLUMBING LLC,Investment Company,
450056850,"JSB 18 NJ, LLC",Investment Company,
450056851,E & D ENTERTAINMENT LLC,Insurance Company,
450056852,175 ESSEX AVE LLC,Regional Company,
450056039,166 SAINT NICHOLAS AVENUE LLC,Independent,
450056854,HAYES-WARD INVESTMENTS LLC,RIA,
450056855,KSKT DEVELOPMENT LLC,Regional Company,
450056857,NEWARK BAY ADVISORS LLC,Regional Company,
450056858,METAL CONSTRUCTION LLC,Regional Company,
450056859,HARRY MAINELLO LLC,RIA,
450056861,A&E REALTY LLC,RIA,
450056862,"SJG ADVISORY, LLC",Investment Company,
450056863,GROOMING BY ANTONELLI LLC,RIA,
450056864,12 PERCENT NATION LIMITED LIABILITY CO,Trading Platform Provider,
450056866,ZAK SERVICES GROUP III LLC,RIA,
450059783,184 LEMBECK AVENUE INC.,Independent,
450057215,ROBERT J SCHULTZ LLC,Investment Company,
450059701,190 MIDLAND AVE REALTY HOLDINGS LLC,Independent,
450057218,KJDM TRUCK LLC,Regional Company,
450057219,UPSCALE LUXURY RENTALS LLC,Regional Company,
450057221,NORTH 31ST STREET LIMITED LIABILITY COMPANY,Investment Company,
450057222,MRC CONSTRUCTION SERVICES LLC,Investment Company,
450057223,217 JOHN STREET LLC,RIA,
450059133,1480 GAYLORD LLC,Bank,
450057225,PROGRESSIVE TECHNOLOGY PARTNERS LLC,Investment Company,
450059332,1BRX LLC,Independent,
450058914,1ST STREET HOLDINGS LLC,Independent,
450057230,JY SPRING TRADING LLC,Investment Company,
450057231,"AVA KARAS ENTERPRISES, LLC",Insurance Company,
450057232,PATTY'S FARM MARKET LLC,Trading Platform Provider,
450059083,21 PEAR BROWNS MILLS LLC,Independent,
600429612,"22 BALDWIN, LLC",Independent,
450057236,SALUTE ADVERTISING LLC,Insurance Company,
450058125,234 N. 7TH LLC,Independent,
450057238,ACRO SPORTS LLC,RIA,
450057239,MEDICAL CONSULTANT OF NEW JERSEY LLC,Trading Platform Provider,
450059583,152 CHADWICK ASSOCIATES LLC,Bank,
450057600,"BARRY ENGELBERT ENTERPRISES, LLC",Regional Company,
450057915,24 WILSON TER LLC,Independent,
450057602,"JUICE KRAZE, LLC",Insurance Company,
450056104,16 HOAGLAND AVENUE LLC,Bank,
450057604,"LOUD AMERIKA, LLC",Insurance Company,
450056980,17-10 MORLOT AVE LLC,Bank,
450059688,27 OAKWOOD L.L.C.,Independent,
450057607,"LADERRICK NOW ENTERPRISES, LLC",Trading Platform Provider,
450057608,"TRI-STATE COUNSELING, LLC",RIA,
450057610,"GET GOING TRANSPORTATION, LLC",Trading Platform Provider,
450057611,"SPRAY DU SOLEIL, LLC",Regional Company,
450057612,"BENEVOLENT OUTCOME SKIN CARE, LLC",Trading Platform Provider,
450057613,"VANTAGE VERTICAL, LLC",Investment Company,
450057614,"DRESSAGE EXPERIENCE SHOW MANAGEMENT SERVICES, LLC",Trading Platform Provider,
450057615,ORBITAL PRECISION LLC,Regional Company,
450057616,"PHARMA & BIOPHARMA ACCURATE SERVICES, LLC",Regional Company,
450058582,18-20 PINE ST LLC,Bank,
450057618,"BPC CONSULTING, LLC",RIA,
450057619,"J. PURKEY CONSTRUCTION, LLC",Trading Platform Provider,
450057620,"HAYE TRANSPORT, LLC",Insurance Company,
450057621,"BLUE THUNDER AUDIO PRODUCTIONS, LLC",Investment Company,
450057981,"EVERYDAY MILESTONES, LLC",RIA,
450058363,278 WEST RT130 LIMITED LIABILITY COMPANY,Independent,
450058944,186 MARKET LLC,Bank,
450057984,"WISHFUL PLANET, LLC",Trading Platform Provider,
450056277,1905 WHITEVILLE ROAD ASSOCIATES LLC,Bank,
450057986,"VDJ ENTERPRISES, LLC",Insurance Company,
450057988,"LEAH JOHNSON PHOTOGRAPHY, LLC",Insurance Company,
450057990,"LAZ IMPRESSIONS, LLC",Investment Company,
450057991,JCN INTERNATIONAL LLC,Investment Company,
600429482,"2E FOLEY, LLC",Independent,
450057993,"FIVE FROM FIVE, LLC",Regional Company,
450057994,"YELLY TREE EXTERMINATING, LLC",Insurance Company,
450057995,"BELLA OVERHEAD DOOR, LLC",Investment Company,
450057996,"PRECISE FIRST ASSIST, LLC",Insurance Company,
450057997,ARLINGTON LINCOLN DEVELOPER LLC,Investment Company,
450058000,"DENMATT INDUSTRIES, LLC",Trading Platform Provider,
450058001,BURNS' BRANCH LLC,Trading Platform Provider,
450058002,SDES PENEIRAS LLC,Investment Company,
450058003,PREFFERED RESTORATION L.L.C.,Trading Platform Provider,
450058004,SPG 65FPT LLC,Investment Company,
450058005,CAFE DU PAIN BAKERY LLC,Insurance Company,
450058007,SMALL TALK CREATIVE COMMUNICATIONS LLC,RIA,
450058008,ROSEN 62ND HOLDINGS LLC,Insurance Company,
450058263,30 BURGERS QUAKERBRIDGE MALL LLC,Independent,
600429529,"VEMURI PROPERTIES, LLC",RIA,
600429530,"1594 OAK TREE ROAD, LLC",RIA,
600429531,"COOKS MONTVILLE HOLDINGS, LLC",Insurance Company,
600429532,"55 BERGENLINE ENTERPRISES, LLC",Trading Platform Provider,
450058513,309 HERBERT LLC,Independent,
450058374,CLASSIC CYCLES LLC,RIA,
450058375,"LIGHTHOUSE REAL ESTATE INVESTMENT GROUP, LLC",Investment Company,
450057743,31 PEARSALL HOLDINGS LLC,Independent,
450058377,NART LOGISTICS LLC,Regional Company,
450058742,"PARKALONG, LLC",RIA,
450058743,"PAINT WITH SHARON, LLC",Insurance Company,
450058744,"NATIONAL WEATHER FORECASTING, LLC",Regional Company,
600429477,"2 SL, LLC",Bank,
450058746,"IRON THRONE SOLUTIONS, LLC",Trading Platform Provider,
450057261,33 DODD LLC,Independent,
450058398,339 PARTNERS LLC,Independent,
450058751,NANNA GROUP LLC,Insurance Company,
450058752,WAFER LEVEL MAGNETIC TECHNOLOGIES LLC,Insurance Company,
450058753,SASSAFRAS INVESTMENTS LLC,Trading Platform Provider,
450058755,HIDALGO TRUCKING LLC,Trading Platform Provider,
450058756,PICCOLO LAW FIRM LLC,Regional Company,
450058757,ALL TRENDS LLC,Investment Company,
450058758,ADC MANAGEMENT LLC,RIA,
600429409,"36 NORTHWEST STREET, LLC",Independent,
450058760,SGS REAL ESTATE LLC,Trading Platform Provider,
450058761,"931 JULIA STREET, LLC",Trading Platform Provider,
450058763,160-162 CATOR AVE JC LLC,Investment Company,
450058764,DOCKING SOLUTIONS OF NJ LLC,Regional Company,
450057752,2125 DISCOVERY WAY LLC,Bank,
450059085,ROUNDTABLE & ADVISORY LLC,Insurance Company,
450059086,SUMMIT C&T LLC,RIA,
450059087,INTERSTATE ASSOCIATES LLC,Insurance Company,
450056784,36 ONEIDA AVE LLC,Independent,
450059089,BLACK RIVER RESTAURANT CONSULTING LLC,Regional Company,
450059091,"TRI STATE LOWBOY SERVICE, LLC",Investment Company,
600429550,"38 ROBINSON STREET, LLC",Independent,
450059094,EURO MATTRESS & MULTISERVICES LLC,Insurance Company,
450058431,22 PAULISON AVE LLC,Bank,
450059097,LITTLE BITS AND PIECES LLC,Trading Platform Provider,
450059098,GENESIS PAVERS LLC,Insurance Company,
450056501,225 EAST CEDAR ST. LLC,Bank,
450059101,AKBB LLC,Regional Company,
450059102,JNCF REALTY LLC,Insurance Company,
450059103,J & J HAIR AND NAILS LLC,Investment Company,
450058716,234 MURRAY STREET NEWARK LLC,Bank,
450059106,"JUSTIN KIMMEL CONSTRUCTION, LLC",Regional Company,
450058408,258 DAYTON LLC,Bank,
450058871,275 BROAD ST. MANAGEMENT LLC,Bank,
450059111,BAKER'S DOZEN LLC,Insurance Company,
450059112,LAPLANTE ENTERPRISES LLC,Insurance Company,
450059113,"OGS RECYCLING, LLC",RIA,
450059114,BURGESS CHARTER LLC,RIA,
450056090,PROFESSIONAL CONTRACTOR LLC,Insurance Company,
450057265,39 BAILEY LLC,Independent,
450057565,3H REAL ESTATE INVESTMENTS LLC,Independent,
450056093,MAINSAIL WEALTH MANAGEMENT LLC,Investment Company,
450056094,NAVIGATING GREEN SOLUTIONS LLC,Trading Platform Provider,
450056095,PASSION FOR CARE LLC,Regional Company,
450056096,BOURGEOIS HOMES LLC,Trading Platform Provider,
450059528,"4 CORNER CONSTRUCTION, LLC",Independent,
450056100,OZZY'S FINE PAINTING LLC,Insurance Company,
450056102,PICTURE PERFECT PORTRAITS LLC,Investment Company,
450056103,8 GRANT STREET LLC,Regional Company,
450057263,3005 ATLANTIC LLC,Bank,
450056105,SAPPHIRE ENTERPRISES LLC,Insurance Company,
450056106,NO.1 CHINESE RESTAURANT II LLC,RIA,
450056107,BLUE HOUSE OF CAPE MAY LLC,Insurance Company,
450056108,FUENTES EXPRESS TRUCKING LLC,RIA,
450056109,WEB 184 LLC,Trading Platform Provider,
450056110,BJ PORETE LLC,RIA,
450056112,TLB 725 PARK AVENUE REALTY LIMITED LIABILITY COMPANY,RIA,
600429397,405 ELIZABETH AVE LLC,Independent,
450057658,374-376 10TH AVE LLC,Bank,
450056116,DIVAS ACCESSORIES LLC,Investment Company,
450056736,3FRONTS LLC,Bank,
450056118,YANROJOS EXPRESS LLC,Trading Platform Provider,
450056119,WILLOW TREE VENTURES LLC,Investment Company,
450058053,41 ROCK AVE LLC,Independent,
450056481,SHIVA DEVELOPERS LLC,RIA,
450056484,D RICE TIRES LLC,RIA,
450056485,JILL'S BEADED BRACELETS LLC,Trading Platform Provider,
450056486,EXCEL557 LLC,RIA,
450056487,FRASER FAMILY LAW OFFICE LLC,Trading Platform Provider,
450056489,NEXWAVE MOBILE NJ LLC,Trading Platform Provider,
450056490,CLEAREDGE DESIGN AND BUILD LLC,Investment Company,
450056492,D. LOUIS TAXI LLC,Trading Platform Provider,
450056495,RARITAN BAY BREWING LLC,RIA,
450056496,CANDC CONSTRUCTION LLC,Insurance Company,
450057831,410 CENTRAL AVENUE SSP LLC,Bank,
450058050,441-443 10TH AVE LLC,Independent,
450057741,424 E. 1ST AVE LLC,Bank,
450056970,43 STEVENS LLC,Bank,
450056504,BELMONT CAPITAL HOLDINGS LLC,RIA,
450056505,MG HOME REPAIRS & IMPROVEMENTS LLC,Trading Platform Provider,
450056506,EXCEL567 LLC,RIA,
450056867,JOHNSON DARAMOLA LLC,RIA,
450056493,458 HONG AM KITCHEN INC.,Independent,
450056869,HUTCH AUTO REPAIR AND AUTO SOUND LLC,Investment Company,
600429517,"461 LEHIGH, LLC",Bank,
450056871,EXCG SERVICES LLC,Trading Platform Provider,
450056872,SPIRIT DIVINE TRUCKING LLC,RIA,
450056873,MOTT MANAGEMENT LLC,Regional Company,
450056874,GLENMOORE FARM LLC,Regional Company,
450056067,474 CENTRAL BOULEVARD LLC,Bank,
450056876,JAS MORRIS PLAINS LLC,Trading Platform Provider,
450057278,475 NORTH INC,Bank,
450057821,"497 BROAD STREET, LLC",Bank,
450056882,BLUE ANCHOR BREWING LLC,Investment Company,
450056883,CUSTOM LETTERING AND GRAPHICS LLC,Insurance Company,
450056884,"LAW OFFICES OF BENJAMIN I. ZAVODNICK, ESQ. L.L.C.",Trading Platform Provider,
450056885,MAESTRO TECHNOLOGY GROUP LLC,RIA,
450056887,HASH DRIVING SCHOOL LLC,RIA,
450056889,TWISTED BONE OUTDOORS L.L.C.,Insurance Company,
450056890,THIRTEEN HILLS LLC,Insurance Company,
450056891,HERNANDEZ IRON WORKS LLC,Investment Company,
450056230,47 DUNLAP RD LLC,Independent,
450056894,AVENTURE SHOP LLC,Insurance Company,
450056895,LCACIII LLC,RIA,
450058483,503 DIVISION AVE LLC,Bank,
450057241,LORD SHIVA LLC,Insurance Company,
450057242,GJD TRUCKS LLC,Investment Company,
450057243,CG RR PROPERTIES LLC,Trading Platform Provider,
450059279,47 JEFFRIE REALTY LLC,Independent,
450057245,ALPINE LIGHT MEDIA LLC,Regional Company,
450057246,ROBBS34 LLC,Investment Company,
450057247,ALLSECURE COURIER SERVICE LLC,Regional Company,
450058656,494 KINDERKAMACK ROAD LLC,Independent,
450057250,JP CONSTRUCTION AND CONTRACTORS LLC,Investment Company,
450057815,526-528 MAGNOLIA AVE ELIZABETH LLC,Bank,
450057255,ATLANTIC TRIM GROUP LLC,RIA,
450057256,300 FIDELITY PLAZA LLC,Regional Company,
450057258,ADVANCE FOOD SOLUTIONS LLC,Insurance Company,
450057047,569 BROADWAY LLC,Bank,
600429541,"50 HARRIGAN REALTY, L.L.C.",Independent,
450058453,57 GOTTHART LLC,Bank,
450058261,5000 ASSOCIATES LLC,Independent,
450058491,5H PROPERTY LLC,Bank,
450057267,AUTO EXPRESS TRANSPORTATION LLC,Trading Platform Provider,
450057268,1930 75TH STREET LLC,Regional Company,
450056371,60 RAYMOND LLC,Bank,
450058092,7 STARS LAUNDERLAND INC,Bank,
450059350,709 HAZELWOOD LLC,Bank,
450056787,73 DAVENPORT LLC,Bank,
450057627,COASTAL HOME INSPECTION SERVICES LLC,Trading Platform Provider,
450057628,O&A EXPRESS LLC,Insurance Company,
450057203,79 B HOMESTEAD LLC,Bank,
450057630,DURAN EXPRESS LLC,Regional Company,
450057632,"WRALLY POINTE, LLC",RIA,
450057633,AREE GROUP LLC,Investment Company,
450059199,521 BURLINGTON AVE. LLC,Independent,
450057635,POWER CLEANING SERVICES LLC,Insurance Company,
450057636,WITH YOU IN MIND DESIGN LLC,Insurance Company,
600429336,"823 CLAWSON AVENUE, LLC",Bank,
600429554,"879 SOMERSET STREET, LLC",Bank,
450057639,MY TURN PROPERTIES LLC,Investment Company,
450057641,JBS EXPERTS LTD LIABILITY COMPANY,Trading Platform Provider,
450056893,526 PARK INVESTMENTS LLC,Independent,
450057643,ABBIDANI S LLC,Investment Company,
450057644,BEAVER BROOK RANCH LLC,Regional Company,
450058992,893 HUNTERDON LLC,Bank,
450057647,IEA CLEANING SERVICES LLC,Regional Company,
600429375,8A LOGISTICS LLC,Bank,
450058489,595 15 LLC,Independent,
450058939,"6 INDUSTRIAL WAY EAST, LLC",Independent,
450056270,99 BONITA SPRING LLC,Bank,
450058017,310 PARK PLACE LLC,Investment Company,
450058018,100 TIDE WATER 1G LLC,Investment Company,
450058019,CREATIVE LETTER ART LLC,Insurance Company,
450058020,19 LEAF LLC,RIA,
450058249,A & K SPEED INC,Bank,
450058022,SGKL LLC,Regional Company,
450056707,699 TWIN RIVERS DRIVE LLC,Independent,
450058024,RISE SOLUTIONS AND CONTRACTING LLC,RIA,
450058025,J & J DETAIL LLC,Regional Company,
450057830,701 TRUCKING SERVICES LLC,Independent,
450058028,TORRES MAINTENANCE SERVICES LLC,RIA,
450058522,7-11 FAIR LAWN PROPERTY LLC,Independent,
450057240,A J L RELIABLE CONSTRUCTION LLC,Bank,
450058031,RAYMOND WELDING & DOORS LLC,Trading Platform Provider,
450058032,JOSH'S HOME IMPROVEMENT LLC,Regional Company,
450058034,62 HIGHVIEW DRIVE LLC,Trading Platform Provider,
450058378,FIX MY MUSCLES LLC,Trading Platform Provider,
450058379,"SOUND DECISION ENTERTAINMENT, LLC",Insurance Company,
450058380,"GLOBAL PHARMA SERVICES, LLC",RIA,
450058381,"UNITED MOTOR TRANSPORT, LLC",Investment Company,
450058382,BUD 2 BLOOM THERAPY SERVICES LLC,Trading Platform Provider,
450058383,"BRITT THORSON, LLC",Regional Company,
450057910,A&R PROPERTY MAINTENANCE AND LAWNCARE LLC,Bank,
450058269,AANIKASH DISTRIBUTORS LLC,Bank,
450056767,"ACB PARTNERS, LLC",Bank,
450058388,"ALL IN ONE LAWN CARE, LLC",Regional Company,
450058389,"CREWS CONTROL, LLC",Insurance Company,
450058390,"COMPARATIVE ADVANTAGE CONSULTING, LLC",RIA,
450058391,"MEHTA ADVISORY PARTNERS, LLC",Regional Company,
450058392,"DALY PROPERTIES, LLC",Investment Company,
450058393,"AJV 511 WILLOW, LLC",Insurance Company,
450058394,"ATELIER CORPUS, LLC",RIA,
450058396,BONN PLACE LLC,RIA,
450058397,RIDGELINE PROPERTY MANAGEMENT LLC,Trading Platform Provider,
450057738,75 KENMARE AMS MANAGING MEMBER LLC,Independent,
450056569,ADAMSON REALTY LLC,Bank,
450058400,431 PARTNERS LLC,RIA,
450058401,"SUNSHINE FAMILY COUNSELING SERVICES, LLC",Investment Company,
450057204,79-87 KENNEDY DEVELOPMENT OF BAYONNE LIMITED LIABILITY COMPANY,Independent,
450058403,"MASON TRUCKING, LLC",Regional Company,
450058404,"EAST WIND SURGICAL SERVICES, LLC",Insurance Company,
450058766,PERFECTION CLEANING GROUP LLC,Trading Platform Provider,
450058767,"RAZZOLI'S ON THE SQUARE, LLC",Investment Company,
450058768,129-131 CATOR AVE JC LLC,Regional Company,
450058769,DAVID'S FIVE STAR RESTAURANT LLC,Trading Platform Provider,
450058770,70 GREENWOOD ROAD LLC,Trading Platform Provider,
450058771,NECESSITY BAGS LLC,RIA,
450058772,LAW OFFICE OF MARK A. BLOUNT LLC,Trading Platform Provider,
450058775,SABER INTERNATIONAL LLC,RIA,
450059738,891-895 DEGRAW HOMES LIMITED LIABILITY COMPANY,Independent,
450058777,LOCAL SUB LLC,RIA,
450058778,"SUMMIT PHARMACY GROUP, LLC",RIA,
450058780,BLUE MARLIN MASONRY SERVICES LLC,Investment Company,
450058051,90 2ND ST LLC,Independent,
450056679,900 HERRONTOWN ROAD LLC,Independent,
450058785,WARRIORS OF THE SOUL LLC,Investment Company,
450058786,GATE BP 88 LLC,Insurance Company,
450058788,DESIGNS BY MICHAEL ANGELO LLC,Insurance Company,
450058789,LUCAS SERVICES LLC,Investment Company,
450058790,D.I.O.T.S ROADSIDE ASSISTANCE LLC,Trading Platform Provider,
450058674,A & I AUTO SALES LLC,Independent,
450056135,ADD VENTURES CONSTRUCTION SERVICES LLC,Bank,
450059383,A BETTER RIDE LIMO LLC,Independent,
450058338,ADRIEL EXPRESS LLC,Bank,
450059118,ZEINA BLUE LLC,Trading Platform Provider,
450059892,ADVANTAGE CRANE SERVICE LLC,Bank,
450058045,AERIAL FLYTE CLUB LLC,Bank,
450056932,A&M DECOR LLC,Independent,
450059122,THE FOX COLLECTIVE LLC,Investment Company,
450059123,MERCER CONSTRUCTION LLC,Investment Company,
450058277,A&P INVESTMENT PROPERTIES LLC,Independent,
450059126,FALCON CONSTRUCTION & PROPERTY MANAGEMENT LLC,RIA,
101040156,"A.D.R., INC.",Independent,
450056694,AFIA DASH L.L.C.,Bank,
450058278,A.L.N.K. LLC,Independent,
450059130,WILKINSON PROPERTY HOLDINGS LLC,Trading Platform Provider,
450059131,JSM FERTILITY LLC,RIA,
450059132,CHESTNUT ST REALTY LLC,Investment Company,
450059664,AFK TRANS. LTD,Bank,
450056472,AGABIMD LLC,Bank,
450059135,"FIRST CAPITAL CONNECTIONS, LLC",RIA,
450059136,LAW OFFICES OF JEFFREY A. KRAMER LLC,Investment Company,
450059137,"CLASSICMAKERZ, LLC",Trading Platform Provider,
450059129,AAA DESIGN LLC,Independent,
450059140,RISK EVALUATION ADVOCATES LLC,RIA,
450059141,JOYFUL TOYS LLC,Insurance Company,
450059143,MASSERANO REAL ESTATE AND CONSULTING OF NEW JERSEY LLC,Insurance Company,
450056120,KRISTA HOUSE LLC,RIA,
450059208,AGJK AP LLC,Bank,
450056122,AVILAS CONSTRUCTION LLC,Investment Company,
450056123,DECOR GALORE LLC,Trading Platform Provider,
450056124,"COSTANTINOCO, LLC",RIA,
450056020,AJM MANUFACTURING CONSULTANTS LLC,Bank,
450057310,AKA CONSULTING LLC,Bank,
450056130,HUDSON PARALEGAL SERVICES LLC,Trading Platform Provider,
450056133,563 BROAD STREET REALTY LLC,Trading Platform Provider,
450056134,LITTLE ACHIEVERS ACADEMIC CHILD CARE LLC,RIA,
450059730,ALL ABOUT ORGANICS LLC,Bank,
450056136,TCAB REALTY LLC,Investment Company,
450058499,AARYA HEALTHY VENDING L.L.C.,Independent,
450056140,94 IRIS COURT LLC,Regional Company,
450056142,DECEMBER MADE LLC,Trading Platform Provider,
450056144,DG REGLAZING LLC,Trading Platform Provider,
450057182,ALL JACKED UP DIESEL SHOP LLC,Bank,
450056507,COLONIAL OAKS LLC,Regional Company,
450056508,PIZZI BBQ LLC,RIA,
450059160,AB ENVIRONMENTAL SOLUTIONS LLC,Independent,
450056510,L'AMBIANCE RESTAURANT LLC,RIA,
450056511,MAC ADVISORS LLC,Trading Platform Provider,
450056512,H&W COLONIAL LLC,Trading Platform Provider,
450056513,RHODES 2 SUCCESS LLC,Trading Platform Provider,
450056514,FOX TROT FARM LLC,Regional Company,
450056516,THE GENESIS SHOW LLC,Investment Company,
450056519,ECONOMIC MOVING GROUP LLC,Regional Company,
450056520,TECH TEAM 315 LLC,Trading Platform Provider,
450056521,SOLSTICE ADVISORS LLC,Investment Company,
450056522,SRI CHENNA KESHAVA LLC,Insurance Company,
450056523,TEAM BOLANOS TRUCKING LLC,Insurance Company,
450058810,ABHI SYSTEMS QUAD INC.,Independent,
450056525,MARVILHE TRANSPORT LLC,Trading Platform Provider,
450056526,TTA HOLDINGS LLC,Investment Company,
450056527,NEBEKER MARKETING LLC,Investment Company,
450059235,ABISAI CARPENTRY LLC,Independent,
450056529,EASY GLASS LLC,Regional Company,
450056530,NICK PALUMBI AGENCY LLC,Investment Company,
450059148,ADNAGA LLC,Independent,
450056533,DOG TAIL DISTRIBUTORS LLC,RIA,
450056534,WILLOW STREET MANAGEMENT LLC,RIA,
450056057,AGAPE PARTNERS LLC,Independent,
450058484,ALL PLUMBING PROS LLC,Bank,
450056899,JANET C STEVENS LLC,Trading Platform Provider,
450056900,ANMAC TURNERSVILLE LEASE LLC,Trading Platform Provider,
450056902,KPS JANITORIAL SOLUTIONS LLC,Investment Company,
450055971,"AM CABZ, LLC",Bank,
450056218,AIR FRUGAL LLC,Independent,
450058784,AJ DRYWALL LLC,Independent,
450056935,AJA REALTY HOLDING LLC,Independent,
450059296,AJM FUNDING ASSOCIATES INC,Independent,
450056913,ASPIRE CAPITAL HOLDINGS LLC,Investment Company,
450056914,"GOOD CHOICE EMPANADAS RESTAURANT, LLC",RIA,
450056915,SUGARBELLE BOUTIQUE LLC,RIA,
450056917,PIVOT SPACE LLC,Trading Platform Provider,
450056918,PRINCETON HISTORICAL RENEWAL LLC,Regional Company,
450056919,ANSAN LLC,Insurance Company,
450057269,31 HAINES AVENUE LLC,Insurance Company,
450059397,AMORES BEAUTY AND H DESING LLC,Bank,
450057446,ALBUMIN SOLUTIONS LLC,Independent,
450059452,AMS TRANSPORTATION INC,Bank,
450057623,ANB GROUP LLC,Bank,
450057275,ALL YEAR OUTDOOR SERVICES LLC,RIA,
450057276,OTM INVESTMENTS LLC,Regional Company,
450057277,1621 ALDINE LLC,Investment Company,
450057279,US WATERPROOFING LLC,Insurance Company,
450057280,"JESSE CAESAR CONSULTING, LLC",RIA,
450057281,GOWPEN LLC,Investment Company,
450057282,220 WILLIAMSON LLC,Trading Platform Provider,
450057283,RSVP NJ HOME RENTALS LLC,Investment Company,
450058282,ANGELINOS RACING LLC,Bank,
450057286,125 CLINTON ROAD ASSOCIATES LLC,RIA,
450057287,INTEGRITY RE PARTNERS LLC,RIA,
450057289,ALEF NJ LLC,RIA,
450058227,ANGELO CLEANING SERVICE LLC,Bank,
450059775,ANGEL'S RECIPE ICE CREAM ROLL LLC,Bank,
450057292,69 HILLSIDE LLC,Insurance Company,
450057293,CAREPOINT PHARMACY PERTH AMBOY LLC,Trading Platform Provider,
600429515,"APHA SENIOR HOUSING, LLC",Bank,
450057295,VIDAL CONSULTING GROUP LLC,RIA,
