txn_id,txn_date,contact_id,ticker,touch_type
422905669,5/16/2015,109551310,FSUTX,Email
422905670,6/30/2015,222281598,HAINX,Call
422905671,12/29/2015,205629941,JAOSX,Email
422905672,1/18/2015,167576505,GSZIX,Call
422905673,1/26/2015,284418805,AKREX,Email
422905674,11/26/2015,470298248,ONGIX,Email
422905675,2/21/2016,503838001,POAGX,Web Visit
422905676,3/10/2016,807530195,ANAYX,Visit
422905677,4/21/2015,158634848,VWNAX,Call
422905678,8/24/2015,597301337,VTSAX,Email
422905679,5/19/2015,820739590,FSMVX,Email
422905680,3/25/2015,599961103,FSRPX,Call
422905681,5/3/2015,195393403,FGCKX,Email
422905682,11/27/2015,253469222,JANDX,Email
422905683,1/1/2015,365174982,PONCX,Web Visit
422905684,8/7/2015,562348384,FBALX,Web Visit
422905685,2/5/2015,114887052,VGPMX,Web Visit
422905686,2/28/2016,575737537,VEIPX,Call
422905687,3/7/2016,461497280,VGSTX,Web Visit
422905688,1/26/2016,276261073,WASAX,Visit
422905689,8/3/2015,230827593,TRRDX,Call
422905690,2/20/2015,962166089,VVIAX,Visit
422905691,8/7/2015,581627990,VIIIX,Visit
422905692,6/13/2015,906495739,VSCGX,Visit
422905693,6/17/2015,216231654,PGNAX,Call
422905694,8/25/2015,969844681,VGSTX,Email
422905695,2/2/2015,823417341,FLPSX,Email
422905696,12/6/2015,256200942,FDESX,Visit
422905697,1/25/2015,157985267,FDIVX,Web Visit
422905698,6/3/2015,423528932,OAKLX,Visit
422905699,2/26/2015,346289156,FNCMX,Email
422905700,5/26/2015,514625134,MAGWX,Call
422905701,3/16/2015,901185437,AKREX,Visit
422905702,10/14/2015,308190800,SHAPX,Call
422905703,7/5/2015,390305941,VASIX,Email
422905704,4/12/2015,878304860,GWPAX,Web Visit
422905705,6/5/2015,699787705,VWUSX,Call
422905706,3/27/2016,727597211,AWSHX,Email
422905707,4/22/2015,431196248,VTMGX,Web Visit
422905708,3/1/2015,465624476,JATTX,Email
422905709,2/18/2015,337569719,FMAGX,Web Visit
422905710,8/27/2015,210578618,VWNDX,Web Visit
422905711,5/23/2015,146976571,VIIIX,Call
422905712,7/31/2015,343509402,GFACX,Email
422905713,4/21/2015,965514853,PONCX,Call
422905714,11/6/2015,526365414,TEGBX,Call
422905715,6/1/2015,344512482,FHKCX,Call
422905716,12/22/2015,246315635,VCVLX,Email
422905717,8/28/2015,104904619,MMUFX,Email
422905718,10/12/2015,336635180,VTMGX,Email
422905719,7/16/2015,134780379,VTXVX,Call
422905720,2/8/2016,240931614,FNARX,Visit
422905721,5/2/2015,762991334,FPACX,Web Visit
422905722,1/29/2016,141925334,VPCCX,Visit
422905723,1/3/2016,453789798,VBINX,Email
422905724,12/18/2015,210213249,VFIJX,Visit
422905725,6/21/2015,134421853,VASGX,Email
422905726,8/29/2015,299169329,SMCWX,Email
422905727,3/11/2016,958063621,FARCX,Web Visit
422905728,2/27/2016,432537299,IFACX,Visit
422905729,11/16/2015,690122560,PRNEX,Email
422905730,5/31/2015,400115176,VHCOX,Email
422905731,7/18/2015,207769202,VGTSX,Email
422905732,1/22/2015,305876303,PAAIX,Web Visit
422905733,12/14/2015,508153145,PREIX,Call
422905734,4/22/2015,179982426,OAKIX,Visit
422905735,9/18/2015,667274409,DODGX,Web Visit
422905736,9/26/2015,477479679,PGNAX,Web Visit
422905737,8/10/2015,635735109,SMCWX,Web Visit
422905738,6/14/2015,853719953,FDFFX,Call
422905739,9/23/2015,100490977,VFICX,Email
422905740,1/14/2016,945627155,CGMFX,Web Visit
422905741,3/16/2016,147299304,FSITX,Email
422905742,6/30/2015,981456441,VIGIX,Visit
422905743,4/3/2015,553498194,TRMCX,Call
422905744,11/11/2015,285651606,VIMSX,Call
422905745,1/27/2016,449021068,FSAGX,Visit
422905746,1/26/2016,111418345,SPECX,Web Visit
422905747,7/11/2015,322199801,VMLUX,Visit
422905748,1/11/2015,780499547,VTHRX,Email
422905749,1/2/2016,299365531,VFIJX,Email
422905750,2/22/2016,199651188,VTTVX,Web Visit
